Particle (i),X,Y
1,20.0032,6.99995
2,20.0013,7.00015
3,20,7.00005
4,20.024,6.99814
5,20,6.99996
6,20.0012,7.00009
7,19.9994,7.00048
8,20,6.99828
9,20,7.00001
10,20,6.99988
11,19.9873,7.0024
12,20,7
13,19.9999,7.00058
14,19.9978,6.94263
15,20,6.99999
16,19.9998,6.9999
17,19.9997,7.00007
18,20,6.99772
19,20,6.99955
20,19.9998,7.00003
21,19.9976,6.99992
22,19.9974,6.99501
23,20,6.99965
24,20,7.00024
25,19.9998,7.00013
26,19.9915,7.00289
27,19.9996,6.99775
28,19.9959,6.99997
29,20,7.00109
30,19.9994,6.96731
