Number of Genes (l),Population Size (N),Generations (G),Mutation Probability (P_m),Crossover Probability (P_c)
20,30,10,0.033,0.99

Generation,Avg Fitness,Best Fitness,# of Correct Bits in Best

1,0.0709636,0.865823,12
2,0.14401,0.990306,12
3,0.134078,0.973113,14
4,0.0311834,0.591211,10
5,0.101558,0.773596,10
6,0.12556,0.88643,15
7,0.0656683,0.658952,12
8,0.109875,0.894204,12
9,0.0685232,0.924201,17
10,0.0564245,0.643466,13

1,0.152037,0.686068,11
2,0.0637837,0.472,15
3,0.0479495,0.786184,12
4,0.0941062,0.818963,11
5,0.124148,0.880289,12
6,0.0643192,0.730524,10
7,0.12779,0.846239,14
8,0.0785221,0.756517,12
9,0.0401443,0.369582,15
10,0.164491,0.986248,14

1,0.0433671,0.564626,11
2,0.0555894,0.362576,12
3,0.0809744,0.550555,10
4,0.0729327,0.853596,15
5,0.146045,0.927083,12
6,0.0922415,0.62081,8
7,0.0802737,0.771993,14
8,0.117603,0.955961,13
9,0.0527916,0.475842,13
10,0.117509,0.756755,13

1,0.0635427,0.873443,13
2,0.0290195,0.291736,8
3,0.105544,0.713734,12
4,0.13359,0.906665,9
5,0.0856388,0.591913,14
6,0.121478,0.918487,13
7,0.131481,0.719124,13
8,0.105329,0.714234,12
9,0.0502986,0.580467,11
10,0.123654,0.688164,15

1,0.0509287,0.27242,7
2,0.0687202,0.368602,13
3,0.0514196,0.466363,12
4,0.10547,0.716047,14
5,0.080059,0.938739,11
6,0.0485369,0.371991,13
7,0.0992235,0.740229,10
8,0.158619,0.789138,8
9,0.0873642,0.763026,11
10,0.0895103,0.940235,14

1,0.104701,0.823805,10
2,0.144593,0.885216,14
3,0.0455527,0.451005,13
4,0.0649977,0.677153,12
5,0.0824753,0.702723,9
6,0.0306418,0.281519,10
7,0.0829272,0.888349,15
8,0.0627479,0.821405,10
9,0.122998,0.702862,10
10,0.145916,0.729676,11

1,0.0981596,0.703758,12
2,0.0660247,0.814996,13
3,0.143813,0.928679,13
4,0.11605,0.803973,13
5,0.0972588,0.950726,15
6,0.0818726,0.622438,10
7,0.188582,0.989994,15
8,0.177081,0.993126,15
9,0.0491213,0.450716,8
10,0.068301,0.607423,13

1,0.141342,0.892102,9
2,0.097555,0.615934,13
3,0.104641,0.972025,13
4,0.0848346,0.754102,9
5,0.0841399,0.819816,15
6,0.135378,0.954606,11
7,0.121132,0.837556,9
8,0.105229,0.954186,14
9,0.0767314,0.743517,9
10,0.0417842,0.605125,13

1,0.0695297,0.529562,10
2,0.113241,0.733953,13
3,0.103899,0.909516,13
4,0.0419956,0.401632,11
5,0.0625729,0.456912,13
6,0.0821879,0.693586,12
