Number of Genes (l),Population Size (N),Generations (G),Mutation Probability (P_m),Crossover Probability (P_c)
20,30,10,0.033,0.1

Generation,Avg Fitness,Best Fitness,# of Correct Bits in Best

1,0.107465,0.928269,10
2,0.306781,0.477575,12
3,0.335518,0.664912,12
4,0.355094,0.664925,13
5,0.311083,0.667029,14
6,0.316118,0.458167,12
7,0.279731,0.638347,11
8,0.35248,0.641666,13
9,0.354713,0.881123,14
10,0.3314,0.632311,12

1,0.0823116,0.531054,10
2,0.408193,0.842357,13
3,0.510523,0.842374,14
4,0.412985,0.842357,13
5,0.420383,0.842357,13
6,0.352749,0.506089,12
7,0.367659,0.51677,13
8,0.413355,0.51677,13
9,0.371717,0.437873,13
10,0.449252,0.842423,14

1,0.097004,0.736325,10
2,0.109555,0.33348,8
3,0.175276,0.60746,12
4,0.136039,0.601229,11
5,0.160133,0.61689,15
6,0.561893,0.782651,14
7,0.595618,0.851803,15
8,0.703722,0.997133,16
9,0.75358,0.851803,15
10,0.767545,0.958703,14

1,0.0512427,0.568664,13
2,0.142987,0.994065,13
3,0.87994,0.998932,14
4,0.508718,0.99452,13
5,0.908911,0.998932,14
6,0.296586,0.994065,13
7,0.237242,0.262944,15
8,0.25136,0.994065,13
9,0.229806,0.262955,16
10,0.214591,0.849157,13

1,0.0428785,0.643376,11
2,0.0480636,0.103989,8
3,0.089,0.31601,7
4,0.248333,0.527542,6
5,0.253429,0.315983,7
6,0.227515,0.375966,7
7,0.253327,0.375966,7
8,0.284288,0.547126,7
9,0.553813,0.757928,7
10,0.503842,0.757928,7

1,0.171309,0.95371,12
2,0.834065,0.9584,13
3,0.871965,0.99181,13
4,0.510396,0.95371,12
5,0.489407,0.498765,11
6,0.469584,0.5197,10
7,0.466132,0.952249,10
8,0.483951,0.953418,11
9,0.472066,0.952249,10
10,0.455986,0.953491,12

1,0.10816,0.87736,11
2,0.649307,0.949333,12
3,0.822877,0.949333,12
4,0.837524,0.948169,11
5,0.696214,0.957555,13
6,0.509263,0.943561,11
7,0.133669,0.49616,11
8,0.120919,0.247548,11
9,0.105791,0.422932,11
10,0.109409,0.418452,10

1,0.196061,0.868264,11
2,0.190125,0.299564,13
3,0.238922,0.916933,12
4,0.23805,0.916933,12
5,0.215667,0.261708,12
6,0.240886,0.916933,12
7,0.242753,0.915946,12
8,0.22673,0.918204,13
9,0.198499,0.260933,12
10,0.214971,0.239975,14

1,0.137783,0.980649,10
2,0.0623443,0.356118,11
3,0.155825,0.179659,13
4,0.135426,0.197037,12
5,0.186809,0.660579,12
6,0.154381,0.660579,12
7,0.148653,0.667327,12
8,0.155755,0.660572,11
9,0.153107,0.660572,11
10,0.162847,0.236273,12

