Number of Genes (l),Population Size (N),Generations (G),Mutation Probability (P_m),Crossover Probability (P_c)
20,200,10,0.005,0.6

Generation,Avg Fitness,Best Fitness,# of Correct Bits in Best

1,0.0978169,0.999905,18
2,0.128331,0.994748,15
3,0.0930741,0.96216,13
4,0.0971812,0.983182,14
5,0.0648577,0.859486,11
6,0.100438,0.995527,14
7,0.0781742,0.90038,14
8,0.115274,0.990353,11
9,0.0878398,0.972992,14
10,0.0950158,0.98803,13

1,0.0891269,0.953025,14
2,0.100181,0.960807,14
3,0.104619,0.998532,16
4,0.0849276,0.946107,15
5,0.0689997,0.922337,13
6,0.0761322,0.952496,13
7,0.0934638,0.883679,13
8,0.0860189,0.95952,14
9,0.114062,0.996762,15
10,0.118297,0.995004,17

1,0.105887,0.994435,17
2,0.0796355,0.951848,15
3,0.0823696,0.958088,11
4,0.0797172,0.969917,12
5,0.106343,0.949151,14
6,0.103663,0.988218,14
7,0.0884331,0.848992,16
8,0.092646,0.991876,14
9,0.0936042,0.970557,15
10,0.0824917,0.884738,12

1,0.103208,0.969128,14
2,0.0900515,0.999981,19
3,0.0998088,0.987492,15
4,0.0925782,0.974594,15
5,0.0846639,0.989106,13
6,0.0789312,0.996002,15
7,0.0973666,0.953546,11
8,0.0906625,0.94926,14
9,0.077879,0.979048,15
10,0.0931287,0.994426,16

1,0.11585,0.986898,14
2,0.0897509,0.973309,16
3,0.0644196,0.929786,11
4,0.0815884,0.901335,13
5,0.0829836,0.823957,13
6,0.0980081,0.953482,12
7,0.0828317,0.894963,12
8,0.0989294,0.95214,16
9,0.103536,0.991838,14
10,0.104782,0.955375,13

1,0.0964831,0.924334,16
2,0.0910171,0.95619,14
3,0.0743042,0.986776,14
4,0.0621956,0.918284,15
5,0.0937889,0.892068,13
6,0.0797657,0.881463,12
7,0.122573,0.990911,13
8,0.0873133,0.983154,12
9,0.0884921,0.931887,13
10,0.0991999,0.960596,14

1,0.0998492,0.94038,14
2,0.0793441,0.869466,13
3,0.0854483,0.995223,13
4,0.0855628,0.906822,10
5,0.113891,0.992747,13
6,0.103828,0.991942,13
7,0.0926164,0.998551,15
8,0.0919047,0.97814,16
9,0.0831079,0.937496,13
10,0.0767249,0.8229,14

1,0.0800032,0.886028,14
2,0.103512,0.949196,14
3,0.101982,0.937199,12
4,0.0797222,0.995555,15
5,0.0900413,0.95862,15
6,0.106705,0.825336,13
7,0.0902556,0.991715,13
8,0.109093,0.988115,15
9,0.0962727,0.974342,15
10,0.0942602,0.971607,12

1,0.0791581,0.93836,11
2,0.0883991,0.895723,11
3,0.0846801,0.904973,14
4,0.0901072,0.994834,15
5,0.0947656,0.925926,11
6,0.0935449,0.975731,16
7,0.0687127,0.942159,15
